epoch,train_loss,val_loss,val_acc,avg_k_cnn,avg_k_lstm,avg_k_tr
1,37.433451360585735,17.908215618133546,52.0256445232574,1.000416965825733,1.0002929501533333,1.0002280256899163
2,37.43052673339844,17.87841730117798,53.13054153594325,1.0016493052430355,1.001792883670718,1.0016541854329348
3,37.30904902244101,17.83359432220459,53.60796617105442,1.0045503265044349,1.0048534218634768,1.0047290051394753
4,37.27857823274574,17.84524269104004,53.512481244032195,1.0065774953044446,1.0069533196803087,1.006880016182563
5,37.30271475655692,17.819034481048583,54.60373755285772,1.0082587857453136,1.0087002556480045,1.008658136053429
6,37.19133299224231,17.792758464813232,54.45368981039421,1.0096107938966157,1.0100985624627725,1.0100972453488253
7,37.216288663903065,17.757956790924073,54.699222479879964,1.010667772421986,1.0111902570156401,1.0112265534995557
8,37.11778749738421,17.846433544158934,54.7947074069022,1.0110960877954103,1.0116748899046957,1.0116996580564126
9,37.164417967504384,17.760671138763428,55.06752148410858,1.012302282297257,1.0129182705509756,1.012968280786771
10,37.18330998323402,17.7661994934082,55.16300641113081,1.0133217228090017,1.0139798771387325,1.0140388434629166
11,37.17719424500757,17.79241418838501,55.16300641113081,1.0136541532228873,1.014329299814146,1.0144181937569912
12,37.168594438202526,18.116630268096923,54.39912699495294,1.013881803222316,1.0145620356622902,1.014646524180064
13,37.18027317280672,18.038699531555174,54.27636066021007,1.014036834207593,1.0147510448939374,1.014866058373273
14,37.061041306476206,17.817875862121582,54.67194107215933,1.0153192891896317,1.016092894688316,1.0162062477547458
15,37.04570419934331,17.951644706726075,54.65830036829901,1.0164693989710942,1.0172576729252494,1.0173802497569133
16,37.158063071114675,17.89004611968994,54.76742599918156,1.0160406562509101,1.016844584643298,1.0169828244079908
17,37.06169097277583,17.9426513671875,54.617378256718055,1.01720597722821,1.0180275972037065,1.0181730111949796
18,37.08037862972338,17.97294988632202,54.74014459146092,1.017252787213957,1.0180912038930654,1.0182203586396044
19,37.06395495667749,17.9241735458374,54.09903151002592,1.0187643992968345,1.0196130219719335,1.0197416653001499
20,37.01040439216458,18.218313026428223,54.412767698813255,1.018918288916945,1.0197624804836705,1.0199277436864387
21,37.0599666517608,18.161743927001954,54.808348110762516,1.0180891118292563,1.0189338066568643,1.0190781367677981
22,37.06786486567283,18.34962739944458,53.921702359841774,1.0192325346356959,1.0201100561837266,1.02029026014273
23,37.04755557313257,18.07358045578003,55.053880780248264,1.0191925306695406,1.0200706313385801,1.020248202698695
24,37.020932956617706,18.057832622528075,54.74014459146092,1.0218015895896204,1.0226947351474254,1.0228800994848033
25,37.00770919176997,18.063682270050048,54.890192333924425,1.021718252266862,1.0226220458541841,1.0227934423034468
26,37.0207292984943,18.149095630645753,54.45368981039421,1.021812038298676,1.0227232636697687,1.0229254511410089
27,36.9107100817622,18.037023067474365,54.84927022234347,1.0239480175488669,1.0248638965839114,1.0250542036599288
28,37.02186662323621,18.081914329528807,54.7947074069022,1.0223279493035644,1.0232270555544258,1.0234269820054418
29,36.96315710885184,18.294864845275878,54.49461192197518,1.0232551698327055,1.0241829276013428,1.0243849936411533
30,36.88550536486567,18.268921661376954,54.0853908061656,1.0230335043539782,1.023945749033156,1.0241501767979824
31,36.87485940115793,18.094325256347656,55.16300641113081,1.0248139339734084,1.0257653401365254,1.0259538906278538
32,36.86788924859495,18.056257438659667,54.90383303778476,1.025309801116438,1.0262576410109703,1.0264714531190657
33,36.904894225451415,18.395789337158202,54.67194107215933,1.0240502528737054,1.0250028690368684,1.0252154675858898
34,36.927055825992504,18.136776828765868,54.808348110762516,1.0253262655187423,1.0262822318906513,1.0264888466754287
35,36.872912504235096,18.063834381103515,54.39912699495294,1.0270229226858072,1.0279556342791887,1.028170626084996
36,36.87624491477499,18.27713279724121,54.33092347565134,1.0275985383961181,1.0285436177760212,1.0287626637006004
37,36.84820587781011,18.08976516723633,54.521893329695814,1.0281322901129326,1.0291031457037718,1.0293235200842323
38,36.8547904345454,18.31796054840088,54.344564179511664,1.0272944146249763,1.0282932220372472,1.02851417925028
39,36.858304237832826,18.25090265274048,53.758013913517935,1.0291247316961627,1.030099691163706,1.0303283772624325
40,36.78616122810208,18.04347972869873,54.83562951848315,1.0302863056265756,1.0312680698291583,1.0314903985941402
41,36.79743918594049,18.233594036102296,54.221797844768794,1.0308516571701487,1.031833708506851,1.0320421692600998
42,36.842902981505105,18.0888108253479,54.45368981039421,1.0298276810100349,1.0308412668996219,1.0310555142857127
43,36.79288264683315,18.112064838409424,54.24907925248943,1.0297594164158432,1.0307472325498281,1.0309672777993943
44,36.81997229128468,18.217234134674072,54.49461192197518,1.030590342554337,1.0316133827407798,1.0318311084721004
45,36.85413376165896,18.104904556274413,54.699222479879964,1.0304764676691545,1.0314892101770385,1.0317075130425728
46,36.83569180235571,18.11026077270508,54.71286318374028,1.029322656483955,1.0303035985433149,1.0305376219140148
47,36.817059497444,18.15284118652344,54.699222479879964,1.0313725646764087,1.0323789072633531,1.0326073474889177
48,36.82306943620954,18.166676235198974,54.344564179511664,1.0302918161219683,1.0312956915284468,1.0315271406473663
49,36.83056445997588,18.04074411392212,54.590096848997405,1.032115726367588,1.033119441284618,1.0333441970577575
50,36.73910460180166,18.17905740737915,54.46733051425453,1.0335248589377488,1.034552862429289,1.0347725999723112
51,36.77495442604532,18.15983877182007,54.521893329695814,1.0342793589708719,1.035320729568888,1.0355423842594698
52,36.81248162717235,18.315742588043214,54.31728277179102,1.0317202369981526,1.0327459041300162,1.0329702384084056
53,36.826820373535156,18.176162719726562,54.35820488337198,1.0324285452698694,1.0334508157955633,1.033675883262754
54,36.74846758161272,18.116555786132814,54.49461192197518,1.0323193740921661,1.0333539517652426,1.0335860541860828
55,36.773299470239756,18.25016098022461,54.0853908061656,1.032960364983363,1.0339860949890598,1.0342240616662108
56,36.80357111716757,18.253693294525146,54.42640840267357,1.0306761953742027,1.0317102447816355,1.0319389771780707
57,36.73288602245097,18.120423221588133,54.808348110762516,1.0330875633286305,1.034111973397662,1.0343475280020447
58,36.68615714871154,18.142333602905275,54.46733051425453,1.0347278583634527,1.0357542833349354,1.0359864131271703
59,36.711195653798626,18.113353157043456,54.38548629109262,1.0364015789344898,1.037446232031667,1.0376829429790004
60,36.72774069649832,18.12483377456665,54.78106670304188,1.0354610520758472,1.0365003919539177,1.0367200250202981
61,36.68729883310746,18.101199340820312,54.221797844768794,1.0347554875774594,1.0358016010217563,1.0360288339934047
62,36.762387645487884,18.22568359375,54.521893329695814,1.0355839680817944,1.036633912102415,1.0368701480345814
63,36.69132287161691,18.55098714828491,53.82621743281953,1.0346358249964107,1.0356885016774628,1.0359171763620696
64,36.696078008534954,18.178261089324952,54.33092347565134,1.0363056280032854,1.0373464453209842,1.0375842660322274
65,36.63370046810228,18.21746187210083,54.54917473741645,1.0354421338746038,1.0364898273091416,1.0367277295131765
66,36.719451203638194,18.20139741897583,54.38548629109262,1.0349848819595833,1.0360530755775588,1.0362931371729986
67,36.70502082669005,18.315383911132812,54.3718455872323,1.0349457588030153,1.036006945279038,1.036246791434402
68,36.703349444330954,18.320796012878418,54.57645614513709,1.0339378445279406,1.0349823679693078,1.0352213206280512
69,36.70245657161791,18.230097198486327,54.685581776019646,1.0365420327072745,1.0375964024246995,1.037840582311736
70,36.6978471717056,18.27495756149292,54.290001364070385,1.036750805492803,1.0378388284042723,1.0380696780495693
71,36.71235220772879,18.29569330215454,54.46733051425453,1.0348352731922688,1.0359125493809611,1.0361450749186374
72,36.606806696677694,18.06559133529663,54.63101896057837,1.0388800589652898,1.0399674410429185,1.0402053697329483
73,36.70286147448481,18.237474822998045,54.60373755285772,1.0351811339249242,1.0362357557352915,1.0364701141045822
74,36.706065430933116,18.248661994934082,54.38548629109262,1.0378396814519895,1.0389164551697385,1.0391656752907115
75,36.63541972880461,18.139377117156982,54.57645614513709,1.0383894158715732,1.039448487060131,1.039699161116226
76,36.635389678332274,18.231754493713378,54.44004910653389,1.0372643515955895,1.038342717747369,1.0385748705388662
77,36.60837142321528,18.123500728607176,54.74014459146092,1.0366705254991693,1.03778146357576,1.0380193133262299
78,36.640808650425505,18.16090507507324,54.67194107215933,1.0386534003079986,1.039751022858413,1.0399922505179247
79,36.6411761848294,18.506006813049318,54.16723502932751,1.0348006726442112,1.0358996400734812,1.0361391488377143
80,36.598491435148276,18.09287805557251,54.65830036829901,1.0389392310906729,1.0400048339100836,1.040242648435609
81,36.62730111881178,18.267386722564698,54.521893329695814,1.0369932154702814,1.038067973338252,1.0383116187252523
82,36.68369005164322,18.228510284423827,54.290001364070385,1.0363876281500366,1.037464955182578,1.0377170046415012
83,36.648625432228556,18.416001510620116,54.208157140908476,1.038284298544986,1.0393679287238151,1.0396196674684417
84,36.630260389678334,18.108877849578857,54.53553403355613,1.0396306694420283,1.0407234196515245,1.040975652773988
85,36.58501675664162,18.12001762390137,54.699222479879964,1.0374353375055891,1.03851143831165,1.0387566609478733
86,36.574419216233856,18.19164047241211,54.60373755285772,1.0404569161076331,1.041536315643489,1.0417791383460746
87,36.66123176107601,18.119456005096435,54.590096848997405,1.0371205868755249,1.0381922776179073,1.038441424409259
88,36.65229859644053,18.105346298217775,54.86291092620379,1.0395204437530583,1.0406140883377017,1.0408495643757028
89,36.712854502152425,18.24077262878418,54.208157140908476,1.0383942480918038,1.0394907565633822,1.0397324375020376
90,36.62737157393475,18.08447093963623,54.42640840267357,1.0391966662162042,1.0402720033485793,1.0405088761425985
91,36.57475716727121,18.120315074920654,54.38548629109262,1.0390932527129253,1.0401744535207367,1.0404251135877192
92,36.62751894581075,18.267753505706786,54.23543854862911,1.0382980721605772,1.0393681709912033,1.039610946260594
93,36.61278689637476,18.30640058517456,54.3036420679307,1.039153291720006,1.0402264557797078,1.0404684534601545
94,36.63542517837213,18.330537128448487,54.63101896057837,1.0378783313017401,1.0389768763553038,1.0392165533572528
95,36.66348180965502,18.28600654602051,54.699222479879964,1.0365415331066827,1.0376458456122246,1.0378884514254338
96,36.69535235969388,18.278088569641113,54.54917473741645,1.0348407062222413,1.0359311008345413,1.0361727879810925
97,36.60048231786611,18.158102607727052,54.71286318374028,1.0407166582418543,1.0418277067531285,1.0420692508360796
98,36.59581920078823,18.22922992706299,54.508252625835496,1.0396389688845766,1.0407414559217751,1.0409922895895407
99,36.646879079390544,18.158024787902832,54.60373755285772,1.0385561267126941,1.0396438106849524,1.039888936291953
100,36.63505258365553,18.19731559753418,54.54917473741645,1.0369125182153953,1.037987423455474,1.038231835838406
